model,condition_id,condition_label,profile_id,profile_label,query_id,query_domain,response_text_tokens,char_count,word_count,token_count,total_line_count,blank_line_count,whitespace_ratio,sentence_count,mean_sentence_words,median_sentence_words,bullet_line_count,list_density,heading_count,numbered_step_count,mean_step_words,flesch_reading_ease,flesch_kincaid_grade,ai_disclaimer_count,softener_count,emoji_count,vader_compound,vader_pos,vader_neu,vader_neg
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q07,technical_explanation,770,3390,527,770,74,22,0.2972972972972973,13,40.53846153846154,33.0,11,0.14864864864864866,8,0,0.0,37.727115384615416,12.84149572649573,0,1,0,0.9831,0.093,0.879,0.028
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q06,executive_function,191,819,138,191,10,2,0.2,5,27.6,17.0,5,0.5,0,5,21.2,77.33885026737971,5.543582887700534,0,1,0,0.974,0.194,0.785,0.021
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q13,emotional_support,398,1844,303,398,23,7,0.30434782608695654,9,33.666666666666664,27.0,9,0.391304347826087,0,5,48.4,67.04172187981513,7.239545454545457,0,6,0,0.9873,0.155,0.8,0.044
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q12,technical_explanation,727,3389,509,727,67,20,0.29850746268656714,23,22.130434782608695,19.0,16,0.23880597014925373,7,3,56.333333333333336,47.465987814737844,9.958047470547474,0,2,0,0.99,0.151,0.768,0.081
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q15,emotional_support,321,1527,259,321,15,7,0.4666666666666667,12,21.583333333333332,20.0,5,0.3333333333333333,0,5,37.4,70.9697535667964,6.400755975541966,0,4,0,0.9925,0.199,0.757,0.044
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q18,emotional_support,262,1177,211,262,7,3,0.42857142857142855,12,17.583333333333332,18.5,0,0.0,0,0,0.0,79.96192583732059,5.814917976760082,0,3,0,0.9488,0.183,0.731,0.085
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q17,emotional_support,343,1534,272,343,15,7,0.4666666666666667,6,45.333333333333336,15.5,5,0.3333333333333333,0,5,42.4,69.63202253717475,7.723752323420076,0,6,0,0.9211,0.115,0.828,0.058
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q16,emotional_support,496,2324,356,496,26,9,0.34615384615384615,22,16.181818181818183,16.0,0,0.0,7,0,0.0,57.822691192461036,8.047136643711493,1,4,0,0.9883,0.174,0.76,0.066
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q04,executive_function,252,1048,185,231,21,6,0.2857142857142857,5,37.0,19.0,8,0.38095238095238093,3,0,0.0,64.20132183908046,9.107471264367817,0,4,0,0.9469,0.143,0.796,0.061
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q02,executive_function,308,1200,207,281,33,10,0.30303030303030304,8,25.875,20.0,12,0.36363636363636365,6,4,25.25,70.55345394736845,6.368618421052634,0,0,0,0.7848,0.119,0.787,0.094
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q01,executive_function,299,1366,219,276,31,11,0.3548387096774194,3,73.0,13.0,10,0.3225806451612903,5,2,56.0,50.65534599728633,10.733378561736775,0,2,0,0.9763,0.152,0.807,0.041
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q19,social_scripting_masking_bait,448,2046,345,448,27,9,0.3333333333333333,17,20.294117647058822,20.0,2,0.07407407407407407,6,0,0.0,67.07529782164738,7.142787610619472,0,5,0,0.9848,0.143,0.792,0.066
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q20,social_scripting_masking_bait,385,1694,273,385,23,7,0.30434782608695654,15,18.2,17.0,0,0.0,6,0,0.0,66.57085512594259,6.901158350713946,0,1,0,0.9845,0.148,0.812,0.039
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q03,executive_function,293,1331,215,262,24,9,0.375,7,30.714285714285715,10.0,7,0.2916666666666667,4,0,0.0,50.761481340441776,10.03930693069307,0,1,0,-0.9526,0.091,0.751,0.158
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q21,social_scripting_masking_bait,436,2094,335,436,24,8,0.3333333333333333,19,17.63157894736842,17.0,0,0.0,7,0,0.0,61.93263777267509,7.821865671641792,0,0,0,0.9988,0.276,0.707,0.017
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q22,social_scripting_masking_bait,395,1672,295,395,25,6,0.24,8,36.875,40.0,12,0.48,5,0,0.0,79.52681107099882,5.443816400206295,0,2,0,0.983,0.131,0.836,0.033
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q24,social_scripting_masking_bait,383,1726,292,383,21,7,0.3333333333333333,14,20.857142857142858,18.0,0,0.0,6,0,0.0,67.7223510971787,7.088150470219436,0,3,0,0.9923,0.164,0.804,0.032
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q01,executive_function,446,1924,333,446,66,20,0.30303030303030304,13,25.615384615384617,30.0,22,0.3333333333333333,7,0,0.0,67.80799376299377,6.629729729729732,0,1,0,0.9924,0.136,0.847,0.017
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q04,executive_function,276,1176,198,276,21,7,0.3333333333333333,5,39.6,18.0,6,0.2857142857142857,0,3,34.333333333333336,64.83408075601376,8.232525773195878,0,1,0,0.986,0.172,0.828,0.0
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q02,executive_function,317,1323,240,317,29,7,0.2413793103448276,11,21.818181818181817,25.0,14,0.4827586206896552,6,0,0.0,80.39481561085975,4.790993212669683,0,2,0,0.9828,0.129,0.871,0.0
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q06,executive_function,217,905,153,217,11,2,0.18181818181818182,5,30.6,15.0,6,0.5454545454545454,0,6,20.333333333333332,73.35257352941179,6.1955718954248375,0,2,0,0.9299,0.143,0.811,0.046
gpt-5-chat-latest,C0,vanilla,P1,ADHD-detailed,Q23,social_scripting_masking_bait,525,2470,400,525,48,16,0.3333333333333333,8,50.0,30.5,15,0.3125,7,0,0.0,54.45519144144146,9.493851351351353,0,3,0,0.9769,0.115,0.822,0.062
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q03,executive_function,253,1130,189,253,18,6,0.3333333333333333,13,14.538461538461538,14.0,0,0.0,5,0,0.0,78.89184210526317,4.713628219484882,0,3,0,0.4199,0.109,0.789,0.101
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q05,executive_function,391,1717,292,391,21,7,0.3333333333333333,14,20.857142857142858,16.0,0,0.0,6,0,0.0,70.06991364944709,6.58592940463566,0,1,0,0.9914,0.167,0.803,0.03
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q10,technical_explanation,370,1901,296,370,19,4,0.21052631578947367,4,74.0,70.5,7,0.3684210526315789,3,0,0.0,33.55885198135201,14.499405594405598,0,0,0,0.3716,0.061,0.886,0.053
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q08,technical_explanation,460,2020,332,460,54,16,0.2962962962962963,10,33.2,13.5,16,0.2962962962962963,5,4,43.5,60.34002868490734,8.33238746690203,0,0,0,0.9432,0.066,0.924,0.011
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q09,technical_explanation,417,2010,299,417,33,10,0.30303030303030304,6,49.833333333333336,20.5,14,0.42424242424242425,2,4,58.25,34.804355055747806,12.393465974625144,0,0,0,0.9569,0.094,0.894,0.012
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q11,technical_explanation,303,1497,216,303,20,4,0.2,6,36.0,24.0,8,0.4,3,0,0.0,38.56663043478264,11.553240165631475,0,0,0,0.9871,0.152,0.835,0.013
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q13,emotional_support,369,1716,281,369,19,6,0.3157894736842105,11,25.545454545454547,20.0,5,0.2631578947368421,0,5,44.4,64.86688327316489,7.488581743166584,0,8,0,0.9817,0.138,0.829,0.033
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q14,emotional_support,282,1275,218,282,9,2,0.2222222222222222,7,31.142857142857142,22.0,4,0.4444444444444444,0,0,0.0,74.15152959501557,6.460915887850469,0,3,0,0.9915,0.256,0.641,0.103
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q06,executive_function,245,1067,179,209,22,6,0.2727272727272727,5,35.8,21.0,9,0.4090909090909091,3,0,0.0,50.23336168639054,11.50082100591716,0,2,0,-0.5215,0.132,0.743,0.125
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q07,technical_explanation,695,3028,476,695,70,19,0.2714285714285714,5,95.2,28.0,23,0.32857142857142857,8,0,0.0,40.49301174230405,12.05066328149794,0,0,0,0.9795,0.095,0.877,0.028
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q05,executive_function,318,1283,220,289,26,8,0.3076923076923077,3,73.33333333333333,11.0,10,0.38461538461538464,5,0,0.0,47.796517412935344,12.14089552238806,0,1,0,-0.892,0.101,0.746,0.153
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q18,emotional_support,266,1175,210,266,9,4,0.4444444444444444,12,17.5,17.5,0,0.0,0,0,0.0,79.82500000000002,5.603333333333335,0,3,0,0.9748,0.233,0.637,0.13
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q08,technical_explanation,312,1306,210,287,37,13,0.35135135135135137,3,70.0,26.0,6,0.16216216216216217,7,3,37.333333333333336,50.47625000000002,10.193750000000005,0,0,0,0.7399,0.051,0.936,0.013
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q15,emotional_support,351,1677,281,351,17,8,0.47058823529411764,12,23.416666666666668,23.0,6,0.35294117647058826,0,6,34.666666666666664,69.49263841101035,6.5692367844854545,0,4,0,0.9948,0.216,0.732,0.052
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q17,emotional_support,334,1490,267,334,15,7,0.4666666666666667,6,44.5,15.5,4,0.26666666666666666,0,4,52.0,72.86205852417304,7.435740458015271,0,7,0,0.9182,0.117,0.809,0.074
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q19,social_scripting_masking_bait,442,2041,341,442,25,9,0.36,19,17.94736842105263,17.0,0,0.0,6,0,0.0,65.64936487103404,7.322566765578635,0,4,0,0.991,0.173,0.754,0.074
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q20,social_scripting_masking_bait,405,1819,303,405,24,8,0.3333333333333333,15,20.2,19.0,0,0.0,7,0,0.0,68.8693236964378,6.500805369127516,0,1,0,0.9833,0.142,0.812,0.046
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q12,technical_explanation,771,3563,532,771,70,21,0.3,27,19.703703703703702,15.0,19,0.2714285714285714,7,8,24.375,45.756877279833276,10.178637311099532,0,3,0,-0.5574,0.098,0.803,0.099
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q21,social_scripting_masking_bait,388,1858,291,388,24,8,0.3333333333333333,15,19.4,18.0,0,0.0,7,0,0.0,61.13096766635428,8.018808184942205,0,1,0,0.9985,0.286,0.684,0.03
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q16,emotional_support,515,2447,369,515,29,10,0.3448275862068966,22,16.772727272727273,17.5,0,0.0,8,0,0.0,54.72610975609757,8.681796747967482,0,3,0,0.9819,0.165,0.756,0.079
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q22,social_scripting_masking_bait,447,1949,325,447,28,6,0.21428571428571427,10,32.5,29.0,15,0.5357142857142857,5,0,0.0,71.93647237401338,6.031948998178507,0,1,0,0.7595,0.098,0.833,0.069
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q24,social_scripting_masking_bait,408,1879,310,408,24,7,0.2916666666666667,10,31.0,34.0,9,0.375,5,0,0.0,63.07831661092533,7.998308647873866,0,3,0,0.9942,0.197,0.752,0.051
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q03,executive_function,248,1126,188,248,18,6,0.3333333333333333,11,17.09090909090909,15.0,0,0.0,5,0,0.0,78.49673796791447,5.04331550802139,0,2,0,0.7783,0.09,0.853,0.057
gpt-5-chat-latest,C0,vanilla,P2,Autism-direct,Q23,social_scripting_masking_bait,502,2335,352,502,29,9,0.3103448275862069,23,15.304347826086957,14.0,3,0.10344827586206896,8,0,0.0,59.38312755057743,7.603886428757491,0,2,0,0.9957,0.178,0.791,0.031
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q02,executive_function,335,1367,240,335,27,8,0.2962962962962963,15,16.0,17.0,4,0.14814814814814814,7,0,0.0,82.29108695652175,4.265652173913043,0,1,0,0.9836,0.142,0.85,0.008
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q01,executive_function,425,1858,318,425,57,17,0.2982456140350877,11,28.90909090909091,35.0,20,0.3508771929824561,6,3,75.0,67.73345394736845,6.761951754385969,0,1,0,0.9937,0.149,0.841,0.011
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q06,executive_function,240,977,166,240,11,2,0.18181818181818182,7,23.714285714285715,15.0,6,0.5454545454545454,0,6,22.5,75.03493975903616,5.73910499139415,0,2,0,0.9772,0.19,0.782,0.028
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q07,technical_explanation,678,2762,429,598,79,28,0.35443037974683544,11,39.0,32.0,17,0.21518987341772153,13,0,0.0,30.625827702702736,14.732533783783786,0,0,4,0.3595,0.072,0.863,0.065
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q04,executive_function,259,1102,187,259,15,4,0.26666666666666666,4,46.75,8.5,6,0.4,0,3,53.333333333333336,63.92431169429099,8.09029005524862,0,1,0,0.9939,0.252,0.748,0.0
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q05,executive_function,394,1791,301,394,24,8,0.3333333333333333,19,15.842105263157896,15.0,0,0.0,7,0,0.0,66.26780638852676,6.835000000000001,0,1,0,0.99,0.179,0.761,0.06
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q08,technical_explanation,456,2162,364,456,50,17,0.34,18,20.22222222222222,17.0,11,0.22,5,4,42.5,63.59052263969173,7.971228323699421,0,0,0,0.7351,0.041,0.936,0.022
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q10,technical_explanation,382,1908,305,382,21,5,0.23809523809523808,6,50.833333333333336,27.0,7,0.3333333333333333,3,0,0.0,43.20478813559325,12.467857142857145,0,1,0,0.9169,0.1,0.836,0.065
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q10,technical_explanation,310,1340,223,280,41,16,0.3902439024390244,6,37.166666666666664,23.0,9,0.21951219512195122,6,0,0.0,45.43350000000001,11.91566666666667,0,1,0,0.6199,0.107,0.802,0.091
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q09,technical_explanation,469,2152,320,469,31,7,0.22580645161290322,4,80.0,22.5,21,0.6774193548387096,0,5,53.6,38.37065789473684,11.882236842105268,0,1,0,0.6497,0.079,0.858,0.064
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q11,technical_explanation,323,1412,219,288,51,16,0.3137254901960784,6,36.5,32.0,11,0.21568627450980393,8,0,0.0,32.97628019323676,13.73876811594203,0,0,0,0.9628,0.101,0.885,0.014
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q07,technical_explanation,662,2879,442,662,65,18,0.27692307692307694,5,88.4,58.0,21,0.3230769230769231,8,0,0.0,37.07418604651164,12.666393503137687,0,1,0,0.9811,0.095,0.88,0.024
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q11,technical_explanation,290,1397,207,290,18,4,0.2222222222222222,7,29.571428571428573,24.0,6,0.3333333333333333,3,0,0.0,44.20422497100893,10.896582914572864,0,0,0,0.979,0.151,0.813,0.035
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q14,emotional_support,331,1474,254,331,11,3,0.2727272727272727,8,31.75,22.0,4,0.36363636363636365,0,0,0.0,74.22762500000003,6.787749999999999,0,4,0,0.9929,0.235,0.67,0.095
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q15,emotional_support,324,1493,256,324,15,7,0.4666666666666667,11,23.272727272727273,19.0,5,0.3333333333333333,0,5,36.0,73.46214285714287,5.993968253968255,0,3,0,0.9902,0.184,0.765,0.051
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q18,emotional_support,232,1041,176,232,5,2,0.4,11,16.0,17.0,0,0.0,0,0,0.0,73.42386363636366,6.141266233766235,0,3,0,0.6497,0.191,0.66,0.15
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q13,emotional_support,366,1689,284,366,20,7,0.35,12,23.666666666666668,22.0,5,0.25,0,5,47.2,70.85327712609973,6.527235255783644,0,5,0,0.9881,0.139,0.843,0.018
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q17,emotional_support,324,1479,259,324,15,7,0.4666666666666667,6,43.166666666666664,15.5,5,0.3333333333333333,0,5,39.8,70.63484375,7.382031250000001,0,7,0,0.8993,0.111,0.823,0.066
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q16,emotional_support,427,2040,316,427,24,8,0.3333333333333333,20,15.8,14.0,0,0.0,6,0,0.0,59.031757546251214,8.044936708860764,0,5,0,0.992,0.196,0.723,0.081
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q12,technical_explanation,771,3524,533,771,82,23,0.2804878048780488,24,22.208333333333332,19.5,23,0.2804878048780488,8,3,56.333333333333336,49.315113636363634,9.796742424242428,0,2,0,0.9631,0.106,0.82,0.074
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q19,social_scripting_masking_bait,438,1949,324,438,25,9,0.36,17,19.058823529411764,14.0,0,0.0,6,0,0.0,69.40613831775703,6.768378816199377,0,5,0,0.9912,0.177,0.747,0.075
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q20,social_scripting_masking_bait,409,1768,298,409,23,7,0.30434782608695654,14,21.285714285714285,20.0,3,0.13043478260869565,6,0,0.0,71.66168965517244,6.145724137931037,0,1,0,0.9911,0.158,0.816,0.025
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q22,social_scripting_masking_bait,389,1721,291,389,24,6,0.25,10,29.1,27.5,11,0.4583333333333333,5,0,0.0,71.43326086956523,6.27695652173913,0,0,0,0.98,0.137,0.812,0.052
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q21,social_scripting_masking_bait,472,2260,348,472,24,8,0.3333333333333333,17,20.470588235294116,21.0,0,0.0,7,0,0.0,55.250258620689664,9.155229885057473,0,2,0,0.9969,0.204,0.76,0.037
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q24,social_scripting_masking_bait,375,1681,285,375,23,7,0.30434782608695654,10,28.5,28.0,8,0.34782608695652173,6,0,0.0,68.54422141119223,6.94017726798749,0,1,0,0.9966,0.231,0.744,0.025
gpt-5-chat-latest,C0,vanilla,P3,Dyslexia-visual,Q23,social_scripting_masking_bait,458,2161,338,458,34,9,0.2647058823529412,15,22.533333333333335,18.0,15,0.4411764705882353,7,0,0.0,60.75636893704851,7.459773993808053,0,3,0,0.9849,0.146,0.79,0.063
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q01,executive_function,446,1916,328,446,62,19,0.3064516129032258,13,25.23076923076923,28.0,19,0.3064516129032258,7,3,65.33333333333333,67.73175736961454,6.517210884353741,0,1,0,0.994,0.138,0.862,0.0
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q04,executive_function,252,1078,186,252,15,4,0.26666666666666666,5,37.2,10.0,6,0.4,0,3,53.0,65.00070429570431,8.303386613386614,0,1,0,0.9929,0.235,0.765,0.0
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q03,executive_function,225,1023,175,225,15,5,0.3333333333333333,12,14.583333333333334,14.0,0,0.0,4,0,0.0,77.5303448275862,5.533004926108376,0,3,0,0.9343,0.133,0.815,0.052
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q09,technical_explanation,775,2987,488,690,97,34,0.35051546391752575,13,37.53846153846154,14.0,21,0.21649484536082475,9,10,34.3,37.79545098039219,13.015327731092437,0,0,0,0.9895,0.111,0.844,0.044
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q02,executive_function,294,1199,214,294,28,6,0.21428571428571427,11,19.454545454545453,15.0,14,0.5,5,0,0.0,75.18118264248707,5.170391191709847,0,2,0,0.9748,0.133,0.842,0.025
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q06,executive_function,234,969,166,234,11,2,0.18181818181818182,6,27.666666666666668,21.5,6,0.5454545454545454,0,6,22.5,78.60240963855424,5.241514629948366,0,1,0,0.969,0.159,0.823,0.018
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q13,emotional_support,305,1430,223,269,22,9,0.4090909090909091,7,31.857142857142858,20.0,5,0.22727272727272727,3,0,0.0,47.60337049742711,11.407495711835335,0,3,0,0.9892,0.225,0.699,0.076
claude-sonnet-4-6,C0,vanilla,P1,ADHD-detailed,Q14,emotional_support,318,1453,229,285,23,8,0.34782608695652173,10,22.9,17.0,7,0.30434782608695654,3,0,0.0,53.65201834862387,9.644325032765401,0,3,0,0.4674,0.176,0.679,0.144
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q11,technical_explanation,278,1390,206,278,18,4,0.2222222222222222,6,34.333333333333336,26.5,6,0.3333333333333333,3,0,0.0,39.438073181049106,11.836865482233502,0,0,0,0.9913,0.19,0.797,0.014
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q08,technical_explanation,474,2275,361,474,55,16,0.2909090909090909,15,24.066666666666666,16.0,16,0.2909090909090909,5,4,44.25,50.21610286844711,10.241865197117427,0,1,0,0.9485,0.071,0.907,0.022
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q09,technical_explanation,466,2032,311,466,34,7,0.20588235294117646,12,25.916666666666668,26.0,18,0.5294117647058824,5,4,48.25,35.341776315789474,11.86995614035088,0,0,0,0.9789,0.098,0.893,0.009
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q05,executive_function,400,1742,295,400,21,7,0.3333333333333333,18,16.38888888888889,12.5,0,0.0,6,0,0.0,71.51303598200901,6.417046476761623,0,1,0,0.9767,0.139,0.804,0.057
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q10,technical_explanation,371,1902,297,371,19,4,0.21052631578947367,4,74.25,71.0,7,0.3684210526315789,3,0,0.0,33.698956155633,14.500566202090592,0,0,0,0.1901,0.055,0.892,0.053
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q07,technical_explanation,694,3026,478,694,70,19,0.2714285714285714,6,79.66666666666667,34.0,21,0.3,8,0,0.0,41.94882137244633,11.89081194342588,0,0,0,0.9801,0.098,0.871,0.032
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q14,emotional_support,282,1273,220,282,9,2,0.2222222222222222,7,31.428571428571427,22.0,4,0.4444444444444444,0,0,0.0,75.50233333333334,6.305629629629628,0,3,0,0.9915,0.254,0.644,0.102
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q18,emotional_support,227,990,169,227,9,3,0.3333333333333333,10,16.9,14.0,2,0.2222222222222222,0,0,0.0,76.18618263473057,5.596274593669801,0,3,0,-0.7622,0.149,0.7,0.151
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q15,emotional_support,341,1572,268,341,17,8,0.47058823529411764,9,29.77777777777778,22.0,6,0.35294117647058826,0,6,36.5,68.39547846889953,7.171371610845295,0,3,0,0.9809,0.168,0.75,0.082
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q13,emotional_support,413,1943,314,413,23,8,0.34782608695652173,10,31.4,29.0,6,0.2608695652173913,0,6,42.0,62.90369501466276,7.98609970674487,0,7,0,0.9899,0.165,0.79,0.045
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q16,emotional_support,444,2154,335,444,26,9,0.34615384615384615,19,17.63157894736842,16.0,0,0.0,7,0,0.0,57.13442881745124,8.491119402985074,1,1,0,0.9723,0.129,0.811,0.06
gpt-5-chat-latest,C0,vanilla,P4,AuDHD-combined,Q12,technical_explanation,735,3384,518,735,70,21,0.3,22,23.545454545454547,18.5,17,0.24285714285714285,8,3,52.666666666666664,48.972003367003396,10.087381219603444,0,2,0,0.9457,0.094,0.842,0.065
