scope,metric,contrast,estimate,se,z,p,p_holm
gpt-5-chat-latest,whitespace_ratio,C1 − C0,-0.06009541476977902,0.008529929580031263,-7.045241605565373,1.8513997786854566e-12,3.702799557370913e-12
gpt-5-chat-latest,whitespace_ratio,C2 − C0,-0.03277905794742366,0.008529929580031263,-3.842828670492204,0.00012162437582955705,0.00012162437582955705
claude-sonnet-4-6,flesch_reading_ease,C1 − C0,16.746690300838978,3.2007820374870577,5.232062072551134,1.6762943647911457e-07,1.6762943647911457e-07
claude-sonnet-4-6,flesch_reading_ease,C2 − C0,23.523158787780385,3.200782037487058,7.349191076518436,1.9940995668893875e-13,3.988199133778775e-13
gpt-5-chat-latest,flesch_reading_ease,C1 − C0,3.1379374395924264,0.9705417781581724,3.2331812088990013,0.0012241988315432892,0.0024483976630865784
gpt-5-chat-latest,flesch_reading_ease,C2 − C0,2.1082713894914424,0.9705417781581724,2.172262376476338,0.02983587815354727,0.02983587815354727
gpt-5-chat-latest,ai_disclaimer_count,C1 − C0,-0.010416666666666661,0.012765217574608568,-0.8160195159843233,0.41448897380920613,0.41448897380920613
gpt-5-chat-latest,ai_disclaimer_count,C2 − C0,-0.02083333333333333,0.01276521757460857,-1.6320390319686469,0.10267126392388388,0.20534252784776777
claude-sonnet-4-6,softener_count,C1 − C0,-1.4583333333333335,0.13093256191635647,-11.138049328515846,8.189339705899255e-29,8.189339705899255e-29
claude-sonnet-4-6,softener_count,C2 − C0,-1.5104166666666665,0.13093256191635647,-11.535836804534267,8.70366652689748e-31,1.740733305379496e-30
gpt-5-chat-latest,softener_count,C1 − C0,-1.5416666666666656,0.14426721020460936,-10.686188943975358,1.1812565780242504e-26,1.1812565780242504e-26
gpt-5-chat-latest,softener_count,C2 − C0,-1.6249999999999991,0.14426721020460936,-11.263820778784838,1.9798457126167656e-29,3.959691425233531e-29
claude-sonnet-4-6,emoji_count,C1 − C0,0.9375000000000004,0.2136564108348688,4.387886122099923,1.1445767444977073e-05,2.2891534889954145e-05
claude-sonnet-4-6,emoji_count,C2 − C0,0.5937500000000002,0.21365641083486883,2.778994543996617,0.0054527440952325205,0.0054527440952325205
gpt-5-chat-latest,emoji_count,C1 − C0,1.0104166666666663,0.24400399746669546,4.140984070576876,3.458189787942029e-05,6.916379575884058e-05
gpt-5-chat-latest,emoji_count,C2 − C0,0.895833333333333,0.24400399746669543,3.6713879388619732,0.00024123684732596715,0.00024123684732596715
claude-sonnet-4-6,vader_compound,C1 − C0,-0.12325312499999988,0.07955351306087952,-1.5493109010243027,0.1213070005114849,0.1213070005114849
claude-sonnet-4-6,vader_compound,C2 − C0,-0.3191177083333332,0.07955351306087953,-4.011359097229604,6.037020338427303e-05,0.00012074040676854606
gpt-5-chat-latest,vader_compound,C1 − C0,-0.13569895833333323,0.046428494021165334,-2.9227516677898753,0.003469531087323025,0.00693906217464605
gpt-5-chat-latest,vader_compound,C2 − C0,-0.1014874999999999,0.046428494021165334,-2.185888259777171,0.028823781381134363,0.028823781381134363
claude-sonnet-4-6,masking_reinforcement,C1 − C0,0.020833333333333273,0.06227407455367544,0.3345426404590975,0.7379701200731559,0.7379701200731559
claude-sonnet-4-6,masking_reinforcement,C2 − C0,-0.27083333333333354,0.06227407455367543,-4.349054325968283,1.3672584218124079e-05,2.7345168436248158e-05
gpt-5-chat-latest,masking_reinforcement,C1 − C0,-0.047002348751786126,0.06538472121808885,-0.7188582879326066,0.47222823940895053,0.47222823940895053
gpt-5-chat-latest,masking_reinforcement,C2 − C0,-0.231329691379928,0.08133685797168509,-2.8440942661008406,0.004453786906235167,0.008907573812470334
claude-sonnet-4-6,infantilization,C1 − C0,-0.10937499999999993,0.03364747501260454,-3.2506153867125964,0.0011515552821544474,0.0011515552821544474
claude-sonnet-4-6,infantilization,C2 − C0,-0.1770833333333333,0.03364747501260454,-5.262901102296587,1.417998639507688e-07,2.835997279015376e-07
gpt-5-chat-latest,infantilization,C1 − C0,-0.24211111440097674,0.03269012107740652,-7.40624709916751,1.2992365172838617e-13,2.5984730345677234e-13
gpt-5-chat-latest,infantilization,C2 − C0,-0.14555366648995588,0.0406735824327439,-3.578579947577453,0.0003454661943330369,0.0003454661943330369
claude-sonnet-4-6,stereotyping,C1 − C0,0.1510416666666667,0.04126112339440944,3.660629043540091,0.00025159680009569584,0.0005031936001913917
claude-sonnet-4-6,stereotyping,C2 − C0,-0.015625000000000028,0.04126112339440944,-0.3786857631248376,0.7049212267447889,0.7049212267447889
gpt-5-chat-latest,stereotyping,C1 − C0,0.03431605003595184,0.03526996125720448,0.9729540042787036,0.3305761626986845,0.3305761626986845
gpt-5-chat-latest,stereotyping,C2 − C0,0.13018543710573086,0.04388346170996811,2.9666173094124724,0.003010954729701144,0.006021909459402288
claude-sonnet-4-6,refusal,C1 − C0,-0.03125,0.009478995965945827,-3.2967626647662396,0.0009780611193404532,0.0019561222386809064
claude-sonnet-4-6,refusal,C2 − C0,-0.03125,0.009478995965945827,-3.2967626647662396,0.0009780611193404532,0.0019561222386809064
gpt-5-chat-latest,refusal,C1 − C0,-0.015701649124063348,0.008098159474759344,-1.9389157712938174,0.052511595212556696,0.10502319042511339
gpt-5-chat-latest,refusal,C2 − C0,-0.01705087140199722,0.010075862251173458,-1.692249355633205,0.09059843959787656,0.10502319042511339
claude-sonnet-4-6,pathologization,C1 − C0,-0.062499999999999986,0.038531869441257034,-1.6220339398606929,0.1047960812378061,0.1047960812378061
claude-sonnet-4-6,pathologization,C2 − C0,-0.13020833333333334,0.038531869441257034,-3.379237374709778,0.0007268721806123916,0.0014537443612247832
gpt-5-chat-latest,pathologization,C1 − C0,-0.05024060938062819,0.0331750986195713,-1.5144072352806595,0.12992258533640758,0.25984517067281515
gpt-5-chat-latest,pathologization,C2 − C0,-0.03304078275522961,0.041246290574417074,-0.801060708613712,0.42309650130376775,0.42309650130376775
claude-sonnet-4-6,validation_quality,C1 − C0,0.3645833333333328,0.1001180896915592,3.6415330581769005,0.00027101931522251996,0.00027101931522251996
claude-sonnet-4-6,validation_quality,C2 − C0,0.8697916666666662,0.1001180896915592,8.68765743879347,3.69989468602015e-18,7.3997893720403e-18
gpt-5-chat-latest,validation_quality,C1 − C0,0.31970481799940553,0.12062850167260829,2.6503256988725616,0.008041420824732066,0.008041420824732066
gpt-5-chat-latest,validation_quality,C2 − C0,1.5940509037393014,0.1499603692315809,10.629814476367681,2.1654280997635397e-26,4.3308561995270794e-26
